t,S,I,R
1.078696741854636514e+02,6.016646684448375890e+04,5.465975509332374713e+03,9.343675576461841119e+05
1.082706766917293209e+02,6.012779330537803617e+04,5.289945034413627582e+03,9.345822616602085764e+05
1.086716791979949761e+02,6.009030021398861572e+04,5.119303368796274299e+03,9.347903964172153501e+05
1.090726817042606456e+02,6.005393142845933471e+04,4.953823447842261885e+03,9.349922451236986089e+05
1.094736842105263150e+02,6.001870395436640683e+04,4.793476418420147638e+03,9.351878196272136411e+05
1.098746867167919703e+02,5.998460630822357780e+04,4.638176576695992480e+03,9.353772171150805661e+05
1.102756892230576398e+02,5.995160857188030059e+04,4.487792970046529263e+03,9.355605984580733348e+05
1.106766917293232950e+02,5.991968115464466973e+04,4.342196087654992880e+03,9.357381227577005047e+05
1.110776942355889645e+02,5.988879479328342859e+04,4.201257860511088438e+03,9.359099473462057067e+05
1.114786967418546340e+02,5.985892055202196207e+04,4.064851661411018995e+03,9.360762277865671786e+05
1.118796992481202892e+02,5.983002982254428935e+04,3.932852304957474644e+03,9.362371178724984638e+05
1.122807017543859587e+02,5.980209432399307116e+04,3.805136047559617509e+03,9.363927696284474805e+05
1.126817042606516281e+02,5.977508610296961706e+04,3.681580587433109486e+03,9.365433333095974522e+05
1.130827067669172834e+02,5.974897753353387088e+04,3.562065064600098594e+03,9.366889574018662097e+05
1.134837092731829529e+02,5.972374131720443256e+04,3.446470060889205342e+03,9.368297886219065404e+05
1.138847117794486223e+02,5.969935048295852175e+04,3.334677599935550461e+03,9.369659719171060715e+05
1.142857142857142776e+02,5.967577838723202149e+04,3.226571147180738990e+03,9.370976504655873869e+05
1.146867167919799471e+02,5.965299871391944180e+04,3.122035609872849818e+03,9.372249656762079103e+05
1.150877192982456023e+02,5.963098547437393427e+04,3.020957337066466152e+03,9.373480571885597892e+05
1.154887218045112718e+02,5.960971300740730658e+04,2.923224119622639591e+03,9.374670628729702439e+05
1.158897243107769413e+02,5.958915597928999341e+04,2.828725190208920139e+03,9.375821188305013347e+05
