time,temperature_K
9.939879759519038771e+01,2.879999622522399250e+02
9.979959919839679117e+01,2.879999621000313255e+02
1.002004008016032088e+02,2.879999619478227260e+02
1.006012024048096265e+02,2.879999617956141265e+02
1.010020040080160300e+02,2.879999616434055270e+02
1.014028056112224476e+02,2.879999614911969275e+02
1.018036072144288653e+02,2.879999613389883280e+02
1.022044088176352687e+02,2.879999611867797285e+02
1.026052104208416864e+02,2.879999610345711289e+02
1.030060120240481041e+02,2.879999608823625294e+02
1.034068136272545075e+02,2.879999607301539299e+02
1.038076152304609252e+02,2.879999605779453304e+02
1.042084168336673429e+02,2.879999604257367309e+02
1.046092184368737463e+02,2.879999602735281314e+02
1.050100200400801640e+02,2.879999601213195319e+02
1.054108216432865817e+02,2.879999599691109324e+02
1.058116232464929851e+02,2.879999598169023329e+02
1.062124248496994028e+02,2.879999596646937334e+02
1.066132264529058205e+02,2.879999595124851339e+02
1.070140280561122239e+02,2.879999593602765344e+02
1.074148296593186416e+02,2.879999592080679349e+02
1.078156312625250592e+02,2.879999590558593923e+02
1.082164328657314627e+02,2.879999589036507928e+02
1.086172344689378804e+02,2.879999587514421933e+02
1.090180360721442980e+02,2.879999585992335938e+02
1.094188376753507015e+02,2.879999584470249943e+02
1.098196392785571192e+02,2.879999582948164516e+02
1.102204408817635368e+02,2.879999581426078521e+02
1.106212424849699403e+02,2.879999579903992526e+02
1.110220440881763579e+02,2.879999578381906531e+02
1.114228456913827756e+02,2.879999576859820536e+02
1.118236472945891791e+02,2.879999575337735109e+02
1.122244488977955967e+02,2.879999573815649114e+02
1.126252505010020144e+02,2.879999572293563119e+02
1.130260521042084179e+02,2.879999570771477693e+02
1.134268537074148355e+02,2.879999569249391698e+02
1.138276553106212390e+02,2.879999567727305703e+02
1.142284569138276566e+02,2.879999566205220276e+02
1.146292585170340743e+02,2.879999564683134281e+02
1.150300601202404778e+02,2.879999563161048854e+02
1.154308617234468954e+02,2.879999561638962859e+02
1.158316633266533131e+02,2.879999560116877433e+02
1.162324649298597166e+02,2.879999558594791438e+02
1.166332665330661342e+02,2.879999557072706011e+02
1.170340681362725519e+02,2.879999555550620016e+02
1.174348697394789554e+02,2.879999554028534590e+02
1.178356713426853730e+02,2.879999552506448595e+02
1.182364729458917907e+02,2.879999550984363168e+02
1.186372745490981941e+02,2.879999549462277173e+02
1.190380761523046118e+02,2.879999547940191746e+02
1.194388777555110295e+02,2.879999546418105751e+02
1.198396793587174329e+02,2.879999544896020325e+02
1.202404809619238506e+02,2.879999543373934898e+02
